url,label
http://www.liquidgeneration.com/,good
http://www.onlineanime.org/,good
http://www.ceres.dti.ne.jp/~nekoi/senno/senfirst.html,good
http://www.galeon.com/kmh/,good
http://www.fanworkrecs.com/,good
http://www.animehouse.com/,good
http://www2.117.ne.jp/~mb1996ax/enadc.html,good
http://archive.rhps.org/fritters/yui/index.html,good
http://www.freecartoonsex.com/,good
http://www.cutepet.org/,good
http://www.taremeparadise.com/,good
http://www.internetdump.com/users/pornographite/index1.html,good
http://darkkaminari.net,good
http://www.iei.net/~bkos1/velneko.htm,good
http://www9.kinghost.com/fetish/hentaibee/,good
http://www.jasonmeador.com/,good
http://www.geocities.com/kaseychan17/index.html,good
http://www.angelfire.com/journal/coldlemonade/index.html,good
http://e.webring.com/hub?sid=&amp;ring=hentff98&amp;id=&amp;list,good
http://www.nemurokinenkan.net,good
http://j-heaven.tripod.com/library.htm,good
http://www.angelfire.com/poetry/nicolesstories/,good
http://thesheeparecoming.tripod.com/papercrane/,good
http://www.geocities.com/eddie_monsoon2002/,good
http://www.shokushu.com/,good
http://www.geocities.com/timessquare/arcade/7810/p_hgames.htm,good
http://www.hentaisocialclub.com/ganguro/index.html,good
http://ryogamasaki.netfirms.com/,good
http://members.tripod.com/~chaz16/3.html,good
http://www.hentai-comics.com/,good
http://www.jastusa.com/,good
http://www.peachprincess.com/,good
http://www.g-collections.com,good
http://www.hentai-games.com/,good
http://www.canadahentai.com,good
http://www.hirameki-int.com,good
http://www.himeyashop.com/,good
http://www.jlist.com/,good
http://www.clubspooey.com/spooey/,good
http://www.hentaigamer.com,good
http://www.pcrdist.com,good
http://www.densetsu.com/,good
http://www.animetric.com/bgames.html,good
http://www.jmate.com/home.html,good
http://www.three-musketeers.net/mike/animeopinions.html,good
http://engbishoujo.tripod.com,good
http://www.somethingawful.com/hentai/,good
http://www.geocities.com/aetus_kane/reviews.html,good
http://www.hentaigameszone.com,good
http://www.hentaineko.com/html_peekv/peek_vgames.shtml,good
http://www.asahi-net.or.jp/~uz9y-ab/yaoicomic.htm,good
http://www.geocities.com/tokyo/villa/9953/yaoimain.html,good
http://www.commonastherain.com/eros.html,good
http://www.angelfire.com/anime3/hoshinokaze/,good
http://www.discarnate.com/boysnextdoor/,good
http://www.geocities.com/spirestudio/index.htm,good
